É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/07 17:32:21

,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{
2015/1/11,3.9,8,1,10.7,8,1,-2.6,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,44,8,1
2015/1/12,4.2,8,1,8.2,8,1,0.1,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,28,8,1
2015/1/13,2.2,8,1,9.4,8,1,-4.0,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,48,8,1
2015/1/14,2.8,8,1,8.7,8,1,-4.5,8,1,0,1,8,1,5.5,0,8,1,0,1,8,1,56,8,1
2015/1/15,2.7,8,1,6.0,8,1,0.3,8,1,24.0,0,8,1,0.0,0,8,1,3,0,8,1,79,8,1
2015/1/16,4.0,8,1,8.5,8,1,-0.6,8,1,0,1,8,1,5.9,0,8,1,0,1,8,1,73,8,1
2015/1/17,2.8,8,1,10.0,8,1,-0.6,8,1,0.0,0,8,1,5.4,0,8,1,0,1,8,1,56,8,1
2015/1/18,3.5,8,1,10.8,8,1,-2.6,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,36,8,1
2015/1/19,2.9,8,1,10.6,8,1,-3.3,8,1,0,1,8,1,5.6,0,8,1,0,1,8,1,54,8,1
2015/1/20,2.8,8,1,10.6,8,1,-3.3,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,56,8,1
2015/1/21,3.8,8,1,9.0,8,1,-1.3,8,1,0,1,8,1,4.0,0,8,1,0,1,8,1,62,8,1
2015/1/22,3.6,8,1,4.3,8,1,2.9,8,1,14.0,0,8,1,0.0,0,8,1,0,1,8,1,88,8,1
2015/1/23,6.4,8,1,11.7,8,1,-0.3,8,1,0.0,0,8,1,8.1,0,8,1,0,1,8,1,54,8,1
2015/1/24,2.1,8,1,8.2,8,1,-3.5,8,1,0,1,8,1,6.7,0,8,1,0,1,8,1,62,8,1
2015/1/25,3.8,8,1,11.5,8,1,-2.7,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,63,8,1
2015/1/26,6.8,8,1,13.1,8,1,0.8,8,1,3.0,0,8,1,6.0,0,8,1,0,1,8,1,65,8,1
2015/1/27,8.4,8,1,14.7,8,1,4.8,8,1,6.5,0,8,1,7.2,0,8,1,0,1,8,1,73,8,1
2015/1/28,3.9,8,1,7.6,8,1,-1.9,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,35,8,1
2015/1/29,0.8,8,1,5.8,8,1,-5.5,8,1,0,1,8,1,6.4,0,8,1,0,1,8,1,46,8,1
2015/1/30,0.5,8,1,1.5,8,1,-0.5,8,1,10.0,0,8,1,0.0,0,8,1,6,0,8,1,86,8,1
2015/1/31,2.7,8,1,7.0,8,1,-0.8,8,1,0,1,8,1,8.5,0,8,1,0,1,8,1,55,8,1
2015/2/1,2.6,8,1,8.1,8,1,-0.9,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,29,8,1
2015/2/2,1.3,8,1,9.5,8,1,-6.2,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,43,8,1
2015/2/3,2.0,8,1,9.3,8,1,-4.5,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,50,8,1
2015/2/4,3.2,8,1,9.4,8,1,-3.2,8,1,0,1,8,1,8.3,0,8,1,0,1,8,1,57,8,1
2015/2/5,1.6,8,1,3.1,8,1,0.4,8,1,4.0,0,8,1,0.0,0,8,1,0,1,8,1,87,8,1
2015/2/6,3.5,8,1,11.3,8,1,-1.4,8,1,0,1,8,1,8.3,0,8,1,0,1,8,1,62,8,1
2015/2/7,2.8,8,1,9.1,8,1,-2.9,8,1,0,1,8,1,5.9,0,8,1,0,1,8,1,63,8,1
2015/2/8,0.7,8,1,2.2,8,1,-1.9,8,1,5.0,0,8,1,1.0,0,8,1,3,0,8,1,90,8,1
2015/2/9,1.7,8,1,6.2,8,1,-1.6,8,1,0,1,8,1,8.5,0,8,1,0,1,8,1,32,8,1
2015/2/10,1.8,8,1,9.1,8,1,-5.2,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,42,8,1
2015/2/11,2.8,8,1,11.0,8,1,-4.8,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,56,8,1
2015/2/12,4.6,8,1,13.2,8,1,-2.8,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,51,8,1
2015/2/13,2.8,8,1,8.5,8,1,-1.7,8,1,0,1,8,1,7.0,0,8,1,0,1,8,1,33,8,1
2015/2/14,2.6,8,1,9.3,8,1,-4.4,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,31,8,1
2015/2/15,4.1,8,1,12.9,8,1,-2.7,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,38,8,1
2015/2/16,3.5,8,1,12.5,8,1,-4.3,8,1,0,1,8,1,10.2,0,8,1,0,1,8,1,35,8,1
2015/2/17,3.4,8,1,5.4,8,1,-0.1,8,1,1.0,0,8,1,0.4,0,8,1,3,0,8,1,72,8,1
2015/2/18,3.4,8,1,6.1,8,1,-0.6,8,1,2.0,0,8,1,1.5,0,8,1,0,1,8,1,86,8,1
2015/2/19,5.1,8,1,13.1,8,1,-1.3,8,1,0.0,0,8,1,6.9,0,8,1,0,1,8,1,59,8,1
2015/2/20,6.1,8,1,12.5,8,1,-0.4,8,1,0,1,8,1,10.4,0,8,1,0,1,8,1,42,8,1
2015/2/21,5.2,8,1,13.0,8,1,-2.6,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,57,8,1
2015/2/22,9.6,8,1,14.8,8,1,5.8,8,1,0.0,0,8,1,1.3,0,8,1,0,1,8,1,66,8,1
2015/2/23,12.3,8,1,21.0,8,1,6.0,8,1,0.5,0,8,1,4.5,0,8,1,0,1,8,1,63,8,1
2015/2/24,8.5,8,1,14.5,8,1,2.4,8,1,0,1,8,1,5.2,0,8,1,0,1,8,1,58,8,1
2015/2/25,9.3,8,1,14.4,8,1,5.6,8,1,0.0,0,8,1,7.4,0,8,1,0,1,8,1,55,8,1
2015/2/26,7.5,8,1,9.8,8,1,5.8,8,1,8.0,0,8,1,0.0,0,8,1,0,1,8,1,76,8,1
2015/2/27,7.6,8,1,11.8,8,1,4.2,8,1,0,1,8,1,10.4,0,8,1,0,1,8,1,43,8,1
2015/2/28,6.6,8,1,13.0,8,1,0.4,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,32,8,1
2015/3/1,6.1,8,1,8.2,8,1,3.6,8,1,26.0,0,8,1,0.0,0,8,1,0,1,8,1,78,8,1
2015/3/2,8.8,8,1,13.9,8,1,5.0,8,1,0,1,8,1,10.7,0,8,1,0,1,8,1,31,8,1
2015/3/3,6.6,8,1,12.1,8,1,1.8,8,1,3.0,0,8,1,2.6,0,8,1,0,1,8,1,58,8,1
2015/3/4,9.4,8,1,18.1,8,1,3.0,8,1,14.0,0,8,1,9.0,0,8,1,0,1,8,1,58,8,1
2015/3/5,8.3,8,1,15.6,8,1,1.3,8,1,0.0,0,8,1,10.3,0,8,1,0,1,8,1,41,8,1
2015/3/6,7.3,8,1,12.4,8,1,4.3,8,1,0.0,0,8,1,4.1,0,8,1,0,1,8,1,45,8,1
2015/3/7,7.0,8,1,10.1,8,1,3.8,8,1,1.5,0,8,1,0.0,0,8,1,0,1,8,1,74,8,1
2015/3/8,9.9,8,1,14.6,8,1,6.6,8,1,0.5,0,8,1,1.7,0,8,1,0,1,8,1,70,8,1
2015/3/9,8.4,8,1,12.8,8,1,4.3,8,1,8.5,0,8,1,0.0,0,8,1,0,1,8,1,78,8,1
2015/3/10,6.7,8,1,13.0,8,1,1.1,8,1,0.5,0,8,1,7.1,0,8,1,0,1,8,1,38,8,1
2015/3/11,4.3,8,1,10.8,8,1,-1.3,8,1,0,1,8,1,10.5,0,8,1,0,1,8,1,25,8,1
2015/3/12,5.2,8,1,12.7,8,1,-1.7,8,1,0,1,8,1,10.9,0,8,1,0,1,8,1,32,8,1
2015/3/13,6.8,8,1,13.6,8,1,-1.2,8,1,0.0,0,8,1,7.7,0,8,1,0,1,8,1,31,8,1
2015/3/14,7.3,8,1,12.2,8,1,2.1,8,1,0.0,0,8,1,5.0,0,8,1,0,1,8,1,44,8,1
2015/3/15,7.4,8,1,15.7,8,1,-0.6,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,57,8,1
2015/3/16,10.0,8,1,16.3,8,1,3.5,8,1,3.5,0,8,1,2.6,0,8,1,0,1,8,1,73,8,1
2015/3/17,13.2,8,1,22.5,8,1,7.6,8,1,0,1,8,1,8.1,0,8,1,0,1,8,1,72,8,1
2015/3/18,14.4,8,1,21.9,8,1,7.5,8,1,4.5,0,8,1,6.8,0,8,1,0,1,8,1,64,8,1
2015/3/19,14.3,8,1,17.3,8,1,11.7,8,1,7.5,0,8,1,0.4,0,8,1,0,1,8,1,86,8,1
2015/3/20,13.8,8,1,20.3,8,1,11.0,8,1,0,1,8,1,4.9,0,8,1,0,1,8,1,69,8,1
2015/3/21,11.2,8,1,16.4,8,1,7.9,8,1,0.0,0,8,1,3.1,0,8,1,0,1,8,1,64,8,1
2015/3/22,12.2,8,1,18.7,8,1,6.9,8,1,0,1,8,1,6.5,0,8,1,0,1,8,1,57,8,1
2015/3/23,10.1,8,1,16.9,8,1,5.2,8,1,0,1,8,1,10.8,0,8,1,0,1,8,1,18,8,1
2015/3/24,6.7,8,1,12.3,8,1,2.3,8,1,0.0,0,8,1,9.8,0,8,1,0,1,8,1,25,8,1
2015/3/25,7.0,8,1,13.5,8,1,0.4,8,1,0,1,8,1,11.3,0,8,1,0,1,8,1,27,8,1
2015/3/26,7.4,8,1,16.1,8,1,-0.6,8,1,0,1,8,1,11.5,0,8,1,0,1,8,1,40,8,1
2015/3/27,10.2,8,1,21.4,8,1,0.7,8,1,0,1,8,1,11.5,0,8,1,0,1,8,1,47,8,1
2015/3/28,11.9,8,1,22.0,8,1,4.3,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,49,8,1
2015/3/29,11.1,8,1,16.9,8,1,4.8,8,1,0.0,0,8,1,3.7,0,8,1,0,1,8,1,65,8,1
2015/3/30,13.4,8,1,24.3,8,1,4.4,8,1,0,1,8,1,11.5,0,8,1,0,1,8,1,57,8,1
2015/3/31,14.3,8,1,23.8,8,1,6.3,8,1,0,1,8,1,11.5,0,8,1,0,1,8,1,62,8,1
2015/4/1,15.0,8,1,21.5,8,1,11.3,8,1,0.0,0,8,1,1.8,0,8,1,0,1,8,1,66,8,1
2015/4/2,13.1,8,1,20.5,8,1,6.7,8,1,0,1,8,1,11.7,0,8,1,0,1,8,1,55,8,1
2015/4/3,14.2,8,1,17.1,8,1,10.3,8,1,1.5,0,8,1,0.4,0,8,1,0,1,8,1,78,8,1
2015/4/4,17.1,8,1,22.5,8,1,14.0,8,1,0.0,0,8,1,1.2,0,8,1,0,1,8,1,70,8,1
2015/4/5,13.1,8,1,14.8,8,1,11.8,8,1,1.0,0,8,1,0.0,0,8,1,0,1,8,1,86,8,1
2015/4/6,17.6,8,1,22.7,8,1,12.4,8,1,1.0,0,8,1,1.6,0,8,1,0,1,8,1,81,8,1
2015/4/7,10.7,8,1,16.8,8,1,7.2,8,1,19.5,0,8,1,0.0,0,8,1,0,1,8,1,90,8,1
2015/4/8,6.0,8,1,7.3,8,1,5.2,8,1,13.5,0,8,1,0.0,0,8,1,0,1,8,1,84,8,1
2015/4/9,8.8,8,1,14.8,8,1,4.9,8,1,0.0,0,8,1,7.2,0,8,1,0,1,8,1,61,8,1
2015/4/10,9.4,8,1,12.9,8,1,6.8,8,1,7.5,0,8,1,0.0,0,8,1,0,1,8,1,72,8,1
2015/4/11,11.6,8,1,16.9,8,1,8.0,8,1,5.5,0,8,1,0.4,0,8,1,0,1,8,1,77,8,1
2015/4/12,12.7,8,1,20.2,8,1,5.6,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,60,8,1
2015/4/13,8.7,8,1,11.2,8,1,7.7,8,1,36.5,0,8,1,0.0,0,8,1,0,1,8,1,84,8,1
2015/4/14,10.4,8,1,12.1,8,1,7.9,8,1,20.5,0,8,1,0.0,0,8,1,0,1,8,1,92,8,1
2015/4/15,12.5,8,1,18.5,8,1,7.9,8,1,2.0,0,8,1,4.7,0,8,1,0,1,8,1,72,8,1
2015/4/16,14.3,8,1,22.9,8,1,5.9,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,60,8,1
2015/4/17,15.0,8,1,23.7,8,1,9.1,8,1,0.0,0,8,1,6.7,0,8,1,0,1,8,1,55,8,1
2015/4/18,12.4,8,1,20.4,8,1,4.4,8,1,0,1,8,1,11.1,0,8,1,0,1,8,1,55,8,1
2015/4/19,12.4,8,1,16.8,8,1,6.7,8,1,0.0,0,8,1,2.3,0,8,1,0,1,8,1,71,8,1
2015/4/20,16.8,8,1,21.6,8,1,10.7,8,1,5.0,0,8,1,0.6,0,8,1,0,1,8,1,80,8,1
2015/4/21,18.7,8,1,22.8,8,1,15.6,8,1,0.0,0,8,1,0.8,0,8,1,0,1,8,1,64,8,1
2015/4/22,16.8,8,1,24.7,8,1,12.1,8,1,0,1,8,1,6.7,0,8,1,0,1,8,1,53,8,1
2015/4/23,17.2,8,1,25.7,8,1,9.0,8,1,0,1,8,1,11.1,0,8,1,0,1,8,1,55,8,1
2015/4/24,17.6,8,1,24.9,8,1,11.2,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,59,8,1
2015/4/25,17.2,8,1,24.4,8,1,11.2,8,1,0.0,0,8,1,7.6,0,8,1,0,1,8,1,59,8,1
2015/4/26,17.3,8,1,24.6,8,1,12.5,8,1,0,1,8,1,12.1,0,8,1,0,1,8,1,57,8,1
2015/4/27,18.5,8,1,28.9,8,1,10.9,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,63,8,1
2015/4/28,19.8,8,1,28.9,8,1,13.7,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,64,8,1
2015/4/29,19.2,8,1,26.0,8,1,14.9,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,58,8,1
2015/4/30,18.9,8,1,27.3,8,1,12.2,8,1,0,1,8,1,10.9,0,8,1,0,1,8,1,54,8,1
2015/5/1,19.5,8,1,29.6,8,1,10.7,8,1,0,1,8,1,12.3,0,8,1,0,1,8,1,49,8,1
2015/5/2,20.7,8,1,30.5,8,1,11.9,8,1,0,1,8,1,12.4,0,8,1,0,1,8,1,49,8,1
2015/5/3,19.9,8,1,28.5,8,1,12.8,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,58,8,1
2015/5/4,20.4,8,1,24.8,8,1,16.6,8,1,0.0,0,8,1,3.2,0,8,1,0,1,8,1,66,8,1
2015/5/5,19.6,8,1,27.0,8,1,15.0,8,1,0.0,0,8,1,9.0,0,8,1,0,1,8,1,47,8,1
2015/5/6,18.0,8,1,26.3,8,1,11.7,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,59,8,1
2015/5/7,19.0,8,1,25.6,8,1,14.8,8,1,0,1,8,1,5.0,0,8,1,0,1,8,1,59,8,1
2015/5/8,20.5,8,1,28.0,8,1,14.1,8,1,0.0,0,8,1,11.9,0,8,1,0,1,8,1,54,8,1
2015/5/9,17.9,8,1,21.2,8,1,15.8,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,71,8,1
2015/5/10,19.5,8,1,28.8,8,1,11.8,8,1,0,1,8,1,12.8,0,8,1,0,1,8,1,44,8,1
2015/5/11,16.2,8,1,25.0,8,1,8.5,8,1,0,1,8,1,12.4,0,8,1,0,1,8,1,42,8,1
2015/5/12,17.2,8,1,24.4,8,1,13.5,8,1,30.0,0,8,1,3.0,0,8,1,0,1,8,1,67,8,1
2015/5/13,21.0,8,1,27.9,8,1,15.3,8,1,0.0,0,8,1,11.4,0,8,1,0,1,8,1,49,8,1
2015/5/14,20.1,8,1,29.8,8,1,11.4,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,50,8,1
2015/5/15,22.2,8,1,30.0,8,1,15.2,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,61,8,1
2015/5/16,21.8,8,1,26.2,8,1,19.6,8,1,2.0,0,8,1,1.2,0,8,1,0,1,8,1,78,8,1
2015/5/17,21.9,8,1,29.8,8,1,16.7,8,1,0,1,8,1,11.9,0,8,1,0,1,8,1,52,8,1
2015/5/18,21.1,8,1,27.4,8,1,15.6,8,1,1.5,0,8,1,4.5,0,8,1,0,1,8,1,56,8,1
2015/5/19,19.2,8,1,24.9,8,1,14.4,8,1,8.5,0,8,1,3.1,0,8,1,0,1,8,1,81,8,1
2015/5/20,22.6,8,1,30.1,8,1,16.8,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,65,8,1
2015/5/21,19.0,8,1,25.7,8,1,12.3,8,1,4.5,0,8,1,13.1,0,8,1,0,1,8,1,49,8,1
2015/5/22,17.6,8,1,24.9,8,1,11.6,8,1,0,1,8,1,6.2,0,8,1,0,1,8,1,59,8,1
2015/5/23,19.7,8,1,28.0,8,1,11.8,8,1,0,1,8,1,10.8,0,8,1,0,1,8,1,57,8,1
2015/5/24,21.4,8,1,28.7,8,1,16.9,8,1,0.0,0,8,1,7.6,0,8,1,0,1,8,1,56,8,1
2015/5/25,21.7,8,1,29.3,8,1,14.5,8,1,0,1,8,1,6.1,0,8,1,0,1,8,1,50,8,1
2015/5/26,22.7,8,1,32.7,8,1,14.2,8,1,0,1,8,1,13.0,0,8,1,0,1,8,1,50,8,1
2015/5/27,24.0,8,1,33.0,8,1,16.1,8,1,0,1,8,1,13.0,0,8,1,0,1,8,1,50,8,1
2015/5/28,23.2,8,1,29.7,8,1,17.2,8,1,0,1,8,1,7.7,0,8,1,0,1,8,1,53,8,1
2015/5/29,22.2,8,1,25.8,8,1,18.4,8,1,0.0,0,8,1,0.1,0,8,1,0,1,8,1,54,8,1
2015/5/30,24.6,8,1,32.9,8,1,17.8,8,1,0,1,8,1,10.8,0,8,1,0,1,8,1,56,8,1
2015/5/31,26.3,8,1,34.5,8,1,20.2,8,1,0,1,8,1,10.7,0,8,1,0,1,8,1,49,8,1
2015/6/1,24.9,8,1,30.6,8,1,20.6,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,47,8,1
2015/6/2,23.1,8,1,30.8,8,1,17.6,8,1,0,1,8,1,6.5,0,8,1,0,1,8,1,59,8,1
2015/6/3,21.2,8,1,23.3,8,1,19.5,8,1,9.5,0,8,1,0.0,0,8,1,0,1,8,1,83,8,1
2015/6/4,22.4,8,1,30.3,8,1,16.3,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,41,8,1
2015/6/5,16.7,8,1,20.8,8,1,12.4,8,1,33.5,0,8,1,1.1,0,8,1,0,1,8,1,66,8,1
2015/6/6,19.3,8,1,27.9,8,1,12.4,8,1,7.0,0,8,1,8.2,0,8,1,0,1,8,1,63,8,1
2015/6/7,20.2,8,1,25.3,8,1,17.0,8,1,0,1,8,1,4.3,0,8,1,0,1,8,1,57,8,1
2015/6/8,19.1,8,1,25.5,8,1,14.0,8,1,4.0,0,8,1,4.7,0,8,1,0,1,8,1,68,8,1
2015/6/9,18.6,8,1,21.4,8,1,15.7,8,1,15.5,0,8,1,0.0,0,8,1,0,1,8,1,85,8,1
2015/6/10,22.2,8,1,29.6,8,1,15.2,8,1,0,1,8,1,10.5,0,8,1,0,1,8,1,68,8,1
2015/6/11,22.7,8,1,28.1,8,1,19.3,8,1,1.5,0,8,1,3.7,0,8,1,0,1,8,1,69,8,1
2015/6/12,22.2,8,1,28.0,8,1,19.3,8,1,1.5,0,8,1,3.5,0,8,1,0,1,8,1,81,8,1
2015/6/13,24.8,8,1,31.4,8,1,20.1,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,66,8,1
2015/6/14,23.0,8,1,27.7,8,1,19.9,8,1,0.0,0,8,1,0.5,0,8,1,0,1,8,1,71,8,1
2015/6/15,24.1,8,1,32.1,8,1,17.4,8,1,0,1,8,1,11.8,0,8,1,0,1,8,1,62,8,1
2015/6/16,23.1,8,1,27.2,8,1,20.1,8,1,0.0,0,8,1,0.6,0,8,1,0,1,8,1,68,8,1
2015/6/17,21.5,8,1,28.9,8,1,18.4,8,1,4.0,0,8,1,1.9,0,8,1,0,1,8,1,77,8,1
2015/6/18,18.9,8,1,22.1,8,1,16.9,8,1,6.0,0,8,1,0.0,0,8,1,0,1,8,1,88,8,1
2015/6/19,19.4,8,1,22.2,8,1,16.8,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,79,8,1
2015/6/20,22.0,8,1,28.1,8,1,17.8,8,1,0,1,8,1,6.8,0,8,1,0,1,8,1,70,8,1
2015/6/21,20.6,8,1,23.7,8,1,18.9,8,1,1.5,0,8,1,0.9,0,8,1,0,1,8,1,77,8,1
2015/6/22,22.5,8,1,29.2,8,1,18.2,8,1,0,1,8,1,6.8,0,8,1,0,1,8,1,67,8,1
2015/6/23,22.2,8,1,30.9,8,1,18.1,8,1,8.5,0,8,1,6.2,0,8,1,0,1,8,1,73,8,1
2015/6/24,23.3,8,1,30.8,8,1,17.7,8,1,0,1,8,1,10.5,0,8,1,0,1,8,1,66,8,1
2015/6/25,24.6,8,1,31.6,8,1,19.6,8,1,5.0,0,8,1,11.1,0,8,1,0,1,8,1,62,8,1
2015/6/26,20.7,8,1,24.2,8,1,18.8,8,1,18.5,0,8,1,0.0,0,8,1,0,1,8,1,83,8,1
2015/6/27,23.5,8,1,28.7,8,1,18.7,8,1,0.5,0,8,1,2.2,0,8,1,0,1,8,1,71,8,1
2015/6/28,25.2,8,1,32.9,8,1,18.7,8,1,0,1,8,1,10.5,0,8,1,0,1,8,1,47,8,1
2015/6/29,22.3,8,1,28.1,8,1,17.2,8,1,0,1,8,1,12.8,0,8,1,0,1,8,1,62,8,1
2015/6/30,21.9,8,1,26.0,8,1,19.1,8,1,0.5,0,8,1,1.3,0,8,1,0,1,8,1,68,8,1
2015/7/1,19.9,8,1,23.2,8,1,17.1,8,1,12.0,0,8,1,0.8,0,8,1,0,1,8,1,90,8,1
2015/7/2,23.5,8,1,27.6,8,1,21.3,8,1,0.5,0,8,1,2.6,0,8,1,0,1,8,1,80,8,1
2015/7/3,21.1,8,1,22.5,8,1,20.1,8,1,31.5,0,8,1,0.0,0,8,1,0,1,8,1,93,8,1
2015/7/4,21.3,8,1,24.1,8,1,18.6,8,1,7.0,0,8,1,0.0,0,8,1,0,1,8,1,89,8,1
2015/7/5,20.6,8,1,24.0,8,1,18.3,8,1,3.0,0,8,1,0.0,0,8,1,0,1,8,1,84,8,1
2015/7/6,20.2,8,1,21.8,8,1,18.9,8,1,9.0,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2015/7/7,21.6,8,1,24.2,8,1,19.6,8,1,0.5,0,8,1,0.0,0,8,1,0,1,8,1,86,8,1
2015/7/8,21.6,8,1,23.2,8,1,20.3,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,88,8,1
2015/7/9,21.9,8,1,25.1,8,1,20.6,8,1,17.5,0,8,1,0.0,0,8,1,0,1,8,1,93,8,1
2015/7/10,25.2,8,1,32.5,8,1,20.5,8,1,1.0,0,8,1,9.3,0,8,1,0,1,8,1,75,8,1
2015/7/11,26.5,8,1,34.7,8,1,21.5,8,1,0,1,8,1,11.4,0,8,1,0,1,8,1,67,8,1
2015/7/12,27.2,8,1,34.3,8,1,22.6,8,1,0,1,8,1,10.8,0,8,1,0,1,8,1,70,8,1
2015/7/13,28.7,8,1,35.0,8,1,24.1,8,1,0,1,8,1,7.4,0,8,1,0,1,8,1,65,8,1
2015/7/14,28.9,8,1,35.4,8,1,23.0,8,1,0,1,8,1,11.8,0,8,1,0,1,8,1,63,8,1
2015/7/15,28.3,8,1,35.3,8,1,24.1,8,1,0.0,0,8,1,9.5,0,8,1,0,1,8,1,62,8,1
2015/7/16,23.7,8,1,26.3,8,1,22.1,8,1,58.0,0,8,1,0.0,0,8,1,0,1,8,1,93,8,1
2015/7/17,25.9,8,1,32.3,8,1,23.3,8,1,13.0,0,8,1,2.9,0,8,1,0,1,8,1,74,8,1
2015/7/18,25.2,8,1,26.9,8,1,22.6,8,1,1.0,0,8,1,0.2,0,8,1,0,1,8,1,78,8,1
2015/7/19,27.6,8,1,33.6,8,1,22.5,8,1,0.0,0,8,1,7.8,0,8,1,0,1,8,1,72,8,1
2015/7/20,29.0,8,1,36.0,8,1,24.8,8,1,0.0,0,8,1,10.1,0,8,1,0,1,8,1,68,8,1
