É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/07 17:31:23

,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ
2015/1/8,-4.7,8,1,1.8,8,1,-8.9,8,1,0.0,0,8,1,7.7,0,8,1,1,0,8,1,76,8,1
2015/1/9,-4.3,8,1,1.7,8,1,-10.5,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,71,8,1
2015/1/10,-4.7,8,1,2.1,8,1,-11.6,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,72,8,1
2015/1/11,-3.6,8,1,3.1,8,1,-9.1,8,1,2.5,0,8,1,2.5,0,8,1,6,0,8,1,85,8,1
2015/1/12,-5.2,8,1,-0.3,8,1,-8.9,8,1,0.0,0,8,1,9.4,0,8,1,0,1,8,1,81,8,1
2015/1/13,-4.0,8,1,1.6,8,1,-7.7,8,1,0.0,0,8,1,5.1,0,8,1,1,0,8,1,84,8,1
2015/1/14,-1.7,8,1,7.6,8,1,-8.9,8,1,0,1,8,1,6.8,0,8,1,0,1,8,1,71,8,1
2015/1/15,-0.4,8,1,4.1,8,1,-2.5,8,1,14.0,0,8,1,0.0,0,8,1,13,0,8,1,84,8,1
2015/1/16,-2.9,8,1,-0.3,8,1,-6.0,8,1,0.0,0,8,1,0.4,0,8,1,0,1,8,1,95,8,1
2015/1/17,-4.1,8,1,0.7,8,1,-9.6,8,1,0.5,0,8,1,5.6,0,8,1,2,0,8,1,78,8,1
2015/1/18,-7.2,8,1,-0.6,8,1,-11.3,8,1,0.0,0,8,1,9.0,0,8,1,0,1,8,1,79,8,1
2015/1/19,-2.5,8,1,3.3,8,1,-10.9,8,1,0.0,0,8,1,6.0,0,8,1,0,1,8,1,74,8,1
2015/1/20,-4.1,8,1,0.5,8,1,-7.7,8,1,0.0,0,8,1,5.7,0,8,1,0,1,8,1,87,8,1
2015/1/21,-4.2,8,1,0.7,8,1,-10.1,8,1,0,1,8,1,5.1,0,8,1,0,1,8,1,82,8,1
2015/1/22,-0.8,8,1,0.6,8,1,-3.1,8,1,3.0,0,8,1,0.0,0,8,1,5,0,8,1,96,8,1
2015/1/23,-2.4,8,1,2.1,8,1,-6.7,8,1,0.0,0,8,1,6.4,0,8,1,0,1,8,1,85,8,1
2015/1/24,-4.5,8,1,1.7,8,1,-7.3,8,1,0,1,8,1,7.1,0,8,1,0,1,8,1,81,8,1
2015/1/25,-2.4,8,1,4.8,8,1,-10.1,8,1,0,1,8,1,7.7,0,8,1,0,1,8,1,76,8,1
2015/1/26,1.5,8,1,9.8,8,1,-4.5,8,1,7.0,0,8,1,6.3,0,8,1,0,1,8,1,74,8,1
2015/1/27,-0.3,8,1,2.1,8,1,-3.7,8,1,3.0,0,8,1,1.2,0,8,1,0,1,8,1,97,8,1
2015/1/28,-5.5,8,1,0.1,8,1,-9.6,8,1,0,1,8,1,8.4,0,8,1,0,1,8,1,69,8,1
2015/1/29,-5.5,8,1,0.3,8,1,-10.2,8,1,0.0,0,8,1,6.5,0,8,1,0,1,8,1,72,8,1
2015/1/30,-3.2,8,1,-0.6,8,1,-5.8,8,1,4.0,0,8,1,0.0,0,8,1,9,0,8,1,90,8,1
2015/1/31,-4.6,8,1,0.3,8,1,-9.6,8,1,0.0,0,8,1,8.3,0,8,1,0,1,8,1,82,8,1
2015/2/1,-6.4,8,1,-0.3,8,1,-10.2,8,1,0.0,0,8,1,9.9,0,8,1,0,1,8,1,73,8,1
2015/2/2,-5.8,8,1,1.4,8,1,-10.6,8,1,0.0,0,8,1,8.0,0,8,1,0,1,8,1,77,8,1
2015/2/3,-4.6,8,1,2.2,8,1,-8.0,8,1,0.0,0,8,1,6.5,0,8,1,0,1,8,1,82,8,1
2015/2/4,-3.2,8,1,3.3,8,1,-6.8,8,1,0.0,0,8,1,6.4,0,8,1,0,1,8,1,74,8,1
2015/2/5,-3.8,8,1,-1.4,8,1,-6.7,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,92,8,1
2015/2/6,-3.2,8,1,3.5,8,1,-7.3,8,1,0.0,0,8,1,6.4,0,8,1,0,1,8,1,79,8,1
2015/2/7,-2.5,8,1,4.9,8,1,-7.3,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,75,8,1
2015/2/8,-2.0,8,1,1.8,8,1,-5.5,8,1,1.5,0,8,1,1.7,0,8,1,3,0,8,1,86,8,1
2015/2/9,-6.6,8,1,-2.0,8,1,-11.0,8,1,0.0,0,8,1,7.7,0,8,1,0,1,8,1,59,8,1
2015/2/10,-4.5,8,1,1.5,8,1,-10.2,8,1,0.0,0,8,1,9.0,0,8,1,1,0,8,1,63,8,1
2015/2/11,-1.2,8,1,6.9,8,1,-8.6,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,59,8,1
2015/2/12,1.0,8,1,6.1,8,1,-2.2,8,1,0,1,8,1,8.1,0,8,1,0,1,8,1,54,8,1
2015/2/13,-4.8,8,1,-0.9,8,1,-10.3,8,1,0.0,0,8,1,3.8,0,8,1,0,1,8,1,57,8,1
2015/2/14,-4.8,8,1,0.7,8,1,-10.9,8,1,0.0,0,8,1,8.5,0,8,1,3,0,8,1,68,8,1
2015/2/15,-3.8,8,1,1.3,8,1,-10.3,8,1,2.0,0,8,1,5.3,0,8,1,5,0,8,1,80,8,1
2015/2/16,-4.1,8,1,3.3,8,1,-9.2,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,74,8,1
2015/2/17,-2.5,8,1,0.4,8,1,-4.3,8,1,0.0,0,8,1,0.0,0,8,1,1,0,8,1,76,8,1
2015/2/18,-2.0,8,1,0.1,8,1,-4.3,8,1,3.5,0,8,1,0.0,0,8,1,10,0,8,1,96,8,1
2015/2/19,-0.8,8,1,5.8,8,1,-3.7,8,1,0.0,0,8,1,6.4,0,8,1,1,0,8,1,85,8,1
2015/2/20,-2.5,8,1,3.2,8,1,-7.6,8,1,0.0,0,8,1,2.7,0,8,1,2,0,8,1,84,8,1
2015/2/21,-1.2,8,1,5.6,8,1,-6.7,8,1,0,1,8,1,7.9,0,8,1,0,1,8,1,75,8,1
2015/2/22,1.5,8,1,6.8,8,1,-2.0,8,1,0.5,0,8,1,4.3,0,8,1,1,0,8,1,80,8,1
2015/2/23,3.8,8,1,12.2,8,1,-0.9,8,1,1.0,0,8,1,2.3,0,8,1,0,1,8,1,91,8,1
2015/2/24,0.2,8,1,5.6,5,1,-3.3,8,1,0,1,8,1,2.9,0,8,1,0,1,8,1,88,8,1
2015/2/25,0.5,8,1,6.8,8,1,-3.3,8,1,0,1,8,1,6.0,0,8,1,0,1,8,1,82,8,1
2015/2/26,-0.8,8,1,0.7,8,1,-2.6,8,1,3.5,0,8,1,0.0,0,8,1,7,0,8,1,99,8,1
2015/2/27,-0.9,8,1,3.6,8,1,-5.2,8,1,0.0,0,8,1,7.9,0,8,1,0,1,8,1,67,8,1
2015/2/28,-2.1,8,1,4.2,8,1,-8.6,8,1,0.0,0,8,1,9.1,0,8,1,0,1,8,1,62,8,1
2015/3/1,-1.1,8,1,1.9,8,1,-2.9,8,1,12.5,0,8,1,0.0,0,8,1,12,0,8,1,92,8,1
2015/3/2,-2.2,5,1,2.8,5,1,-4.8,5,1,0.0,0,5,1,5.2,0,4,1,0,1,5,1,82,5,1
2015/3/3,-2.5,8,1,1.6,8,1,-7.2,8,1,0.0,0,8,1,2.5,0,8,1,1,0,8,1,85,8,1
2015/3/4,1.9,8,1,9.0,8,1,-2.6,8,1,8.0,0,8,1,6.4,0,8,1,7,0,8,1,73,8,1
2015/3/5,-0.8,8,1,6.2,8,1,-6.0,8,1,0,1,8,1,10.5,0,8,1,0,1,8,1,60,8,1
2015/3/6,-1.3,8,1,4.3,8,1,-5.9,8,1,0,1,8,1,1.6,0,8,1,0,1,8,1,74,8,1
2015/3/7,-0.9,8,1,1.0,8,1,-2.6,8,1,0.0,0,8,1,0.0,0,8,1,3,0,8,1,95,8,1
2015/3/8,1.1,8,1,3.4,8,1,-0.8,8,1,7.5,0,8,1,0.2,0,8,1,6,0,5,1,97,8,1
2015/3/9,2.3,8,1,4.1,8,1,1.3,8,1,4.0,0,8,1,0.0,0,8,1,0,1,8,1,97,8,1
2015/3/10,-2.5,8,1,1.7,8,1,-8.6,8,1,1.5,0,8,1,3.0,0,8,1,2,0,8,1,78,8,1
2015/3/11,-3.5,8,1,2.7,8,1,-8.1,8,1,0.0,0,8,1,8.6,0,8,1,2,0,8,1,55,8,1
2015/3/12,-1.4,8,1,4.6,8,1,-5.5,8,1,0.0,0,8,1,8.5,0,8,1,0,1,8,1,55,8,1
2015/3/13,-0.4,8,1,6.4,8,1,-7.4,8,1,0.0,0,8,1,7.5,0,8,1,0,1,8,1,58,8,1
2015/3/14,-0.6,8,1,6.1,8,1,-6.3,8,1,0.5,0,8,1,9.5,0,8,1,3,0,8,1,62,8,1
2015/3/15,0.7,8,1,7.6,8,1,-7.4,8,1,0,1,8,1,10.3,0,8,1,0,1,8,1,73,8,1
2015/3/16,5.7,8,1,12.2,8,1,0.3,8,1,0,1,8,1,4.4,0,8,1,0,1,8,1,67,8,1
2015/3/17,7.5,8,1,20.5,8,1,-1.6,8,1,0,1,8,1,11.0,0,8,1,0,1,8,1,67,8,1
2015/3/18,7.2,8,1,15.7,8,1,-0.8,8,1,0.5,0,8,1,6.3,0,8,1,0,1,8,1,70,8,1
2015/3/19,7.1,8,1,12.0,8,1,4.3,8,1,12.5,0,8,1,0.0,0,8,1,0,1,8,1,99,8,1
2015/3/20,5.2,8,1,11.3,8,1,0.6,8,1,0,1,8,1,2.2,0,8,1,0,1,8,1,93,8,1
2015/3/21,4.1,8,1,13.4,8,1,-0.6,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,71,8,1
2015/3/22,6.0,8,1,14.8,8,1,-2.1,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,50,8,1
2015/3/23,0.3,8,1,7.2,8,1,-4.7,8,1,0.0,0,8,1,11.3,0,8,1,0,1,8,1,50,8,1
2015/3/24,-2.0,8,1,5.4,8,1,-7.2,8,1,0.0,0,8,1,10.8,0,8,1,0,1,8,1,61,8,1
2015/3/25,-1.5,8,1,6.9,8,1,-6.0,8,1,0.0,0,8,1,9.9,0,8,1,0,1,8,1,64,8,1
2015/3/26,-0.1,8,1,10.1,8,1,-5.9,8,1,0,1,8,1,11.9,0,8,1,0,1,8,1,57,8,1
2015/3/27,3.6,8,1,18.0,8,1,-7.2,8,1,0,1,8,1,12.0,0,8,1,0,1,8,1,46,8,1
2015/3/28,5.8,8,1,18.6,8,1,-3.7,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,41,8,1
2015/3/29,7.5,8,1,16.2,8,1,-0.9,8,1,0.0,0,8,1,3.1,0,8,1,0,1,8,1,58,8,1
2015/3/30,8.2,8,1,18.8,8,1,-1.0,8,1,0,1,8,1,10.9,0,8,1,0,1,8,1,63,8,1
2015/3/31,10.4,8,1,21.8,8,1,-0.3,8,1,0,1,8,1,11.4,0,8,1,0,1,8,1,58,8,1
2015/4/1,9.1,8,1,16.4,8,1,2.1,8,1,4.0,0,8,1,0.9,0,8,1,0,1,8,1,73,8,1
2015/4/2,5.7,8,1,13.9,8,1,0.9,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,76,8,1
2015/4/3,12.1,8,1,19.2,8,1,1.8,8,1,0.5,0,8,1,2.5,0,8,1,0,1,8,1,79,8,1
2015/4/4,6.2,8,1,10.7,8,1,4.2,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,96,8,1
2015/4/5,7.5,8,1,14.9,8,1,3.8,8,1,4.5,0,8,1,0.0,0,8,1,0,1,8,1,97,8,1
2015/4/6,10.7,8,1,18.5,8,1,5.3,8,1,5.5,0,8,1,1.3,0,8,1,0,1,8,1,93,8,1
2015/4/7,1.4,8,1,5.4,8,1,-1.1,8,1,8.5,0,8,1,0.0,0,8,1,0,1,8,1,100,8,1
2015/4/8,-2.0,8,1,-0.3,8,1,-3.3,8,1,7.0,0,8,1,0.0,0,8,1,6,0,8,1,99,8,1
2015/4/9,-1.7,8,1,0.2,8,1,-3.7,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,98,8,1
2015/4/10,1.3,8,1,5.2,8,1,-3.6,8,1,3.5,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2015/4/11,4.4,8,1,9.9,8,1,1.8,8,1,5.5,0,8,1,1.2,0,8,1,0,1,8,1,95,8,1
2015/4/12,5.5,8,1,13.7,8,1,-0.8,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,70,8,1
2015/4/13,3.7,8,1,6.7,8,1,0.7,8,1,22.0,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2015/4/14,8.7,8,1,11.7,8,1,5.6,8,1,21.0,0,8,1,0.0,0,8,1,0,1,8,1,98,8,1
2015/4/15,7.5,8,1,15.0,8,1,1.7,8,1,10.0,0,8,1,5.5,0,8,1,0,1,8,1,77,8,1
2015/4/16,9.8,8,1,21.1,8,1,-0.1,8,1,0,1,8,1,8.5,0,8,1,0,1,8,1,60,8,1
2015/4/17,7.9,8,1,16.8,8,1,-2.0,8,1,0.0,0,8,1,5.4,0,8,1,0,1,8,1,66,8,1
2015/4/18,7.7,8,1,17.6,8,1,-3.2,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,43,8,1
2015/4/19,7.6,8,1,16.6,8,1,2.4,8,1,7.0,0,8,1,1.4,0,8,1,0,1,8,1,66,8,1
2015/4/20,9.5,8,1,14.7,8,1,4.5,8,1,6.0,0,8,1,1.2,0,8,1,0,1,8,1,90,8,1
2015/4/21,7.6,8,1,12.9,8,1,2.4,8,1,8.0,0,8,1,3.6,0,8,1,0,1,8,1,91,8,1
2015/4/22,9.3,8,1,15.8,8,1,2.3,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,74,8,1
2015/4/23,11.9,8,1,20.5,8,1,5.5,8,1,0,1,8,1,10.4,0,8,1,0,1,8,1,63,8,1
2015/4/24,11.8,8,1,20.9,8,1,5.3,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,74,8,1
2015/4/25,9.4,8,1,18.9,8,1,1.7,8,1,0,1,8,1,11.9,0,8,1,0,1,8,1,63,8,1
2015/4/26,10.6,8,1,20.6,8,1,1.3,8,1,0,1,8,1,12.7,0,8,1,0,1,8,1,61,8,1
2015/4/27,14.4,8,1,25.6,8,1,4.0,8,1,0,1,8,1,12.5,0,8,1,0,1,8,1,54,8,1
2015/4/28,15.5,8,1,24.3,8,1,5.3,8,1,0,1,8,1,11.1,0,8,1,0,1,8,1,43,8,1
2015/4/29,13.5,8,1,20.2,8,1,7.5,8,1,0,1,8,1,12.7,0,8,1,0,1,8,1,58,8,1
2015/4/30,13.2,8,1,21.0,8,1,6.9,8,1,0,1,8,1,11.9,0,8,1,0,1,8,1,66,8,1
2015/5/1,14.1,8,1,24.0,8,1,3.3,8,1,0,1,8,1,12.7,0,8,1,0,1,8,1,54,8,1
2015/5/2,14.9,8,1,23.8,8,1,5.7,8,1,0,1,8,1,12.6,0,8,1,0,1,8,1,53,8,1
2015/5/3,14.7,8,1,22.3,8,1,6.6,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,62,8,1
2015/5/4,15.3,8,1,23.7,8,1,10.2,8,1,1.5,0,8,1,2.7,0,8,1,0,1,8,1,75,8,1
2015/5/5,10.4,8,1,20.2,8,1,3.9,8,1,1.0,0,8,1,8.7,0,8,1,0,1,8,1,67,8,1
2015/5/6,12.0,8,1,21.5,8,1,3.2,8,1,0,1,8,1,10.8,0,8,1,0,1,8,1,67,8,1
2015/5/7,11.9,8,1,21.8,8,1,6.4,8,1,1.0,0,8,1,4.9,0,8,1,0,1,8,1,69,8,1
2015/5/8,14.0,8,1,23.1,8,1,8.2,8,1,0.0,0,8,1,7.7,0,8,1,0,1,8,1,64,8,1
2015/5/9,11.2,8,1,17.1,8,1,7.4,8,1,0.0,0,8,1,0.1,0,8,1,0,1,8,1,85,8,1
2015/5/10,10.0,8,1,18.5,8,1,2.0,8,1,0,1,8,1,10.4,0,8,1,0,1,8,1,66,8,1
2015/5/11,9.6,8,1,17.7,8,1,1.2,8,1,0,1,8,1,10.8,0,8,1,0,1,8,1,50,8,1
2015/5/12,12.2,8,1,22.4,8,1,6.2,8,1,3.5,0,8,1,3.0,0,8,1,0,1,8,1,66,8,1
2015/5/13,14.8,8,1,21.6,8,1,9.0,8,1,1.5,0,8,1,12.3,0,8,1,0,1,8,1,56,8,1
2015/5/14,18.5,8,1,27.4,8,1,11.5,8,1,0,1,8,1,12.2,0,8,1,0,1,8,1,36,8,1
2015/5/15,17.4,8,1,24.6,8,1,12.6,8,1,0,1,8,1,7.6,0,8,1,0,1,8,1,60,8,1
2015/5/16,14.2,8,1,19.7,8,1,10.4,8,1,8.0,0,8,1,1.8,0,8,1,0,1,8,1,92,8,1
2015/5/17,13.4,8,1,22.3,8,1,7.3,8,1,0,1,8,1,11.9,0,8,1,0,1,8,1,60,8,1
2015/5/18,13.0,8,1,18.6,8,1,6.0,8,1,6.5,0,8,1,5.3,0,8,1,0,1,8,1,75,8,1
2015/5/19,16.5,8,1,23.9,8,1,9.7,8,1,14.5,0,8,1,5.7,0,8,1,0,1,8,1,85,8,1
2015/5/20,15.0,8,1,22.2,8,1,9.1,8,1,0.0,0,8,1,9.9,0,8,1,0,1,8,1,83,8,1
2015/5/21,10.0,8,1,18.2,8,1,2.8,8,1,2.0,0,8,1,10.0,0,8,1,0,1,8,1,67,8,1
2015/5/22,11.9,8,1,22.7,8,1,1.8,8,1,0,1,8,1,10.6,0,8,1,0,1,8,1,58,8,1
2015/5/23,14.5,8,1,24.0,8,1,5.5,8,1,0,1,8,1,7.9,0,8,1,0,1,8,1,59,8,1
2015/5/24,14.5,8,1,22.3,8,1,8.2,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,63,8,1
2015/5/25,14.3,8,1,21.6,8,1,7.0,8,1,0,1,8,1,7.4,0,8,1,0,1,8,1,68,8,1
2015/5/26,15.4,8,1,26.4,8,1,6.4,8,1,0,1,8,1,11.4,0,5,1,0,1,8,1,63,8,1
2015/5/27,16.0,8,1,28.1,8,1,5.8,8,1,0,1,8,1,13.2,0,8,1,0,1,8,1,65,8,1
2015/5/28,15.5,8,1,21.9,8,1,10.3,8,1,0.0,0,8,1,5.1,0,8,1,0,1,8,1,77,8,1
2015/5/29,15.3,8,1,18.6,8,1,12.6,8,1,0.0,0,8,1,1.4,0,8,1,0,1,8,1,82,8,1
2015/5/30,19.1,8,1,29.0,8,1,11.2,8,1,0.0,0,8,1,10.1,0,8,1,0,1,8,1,72,8,1
2015/5/31,16.5,8,1,24.5,8,1,8.3,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,63,8,1
2015/6/1,17.3,8,1,24.4,8,1,10.9,8,1,0,1,8,1,10.4,0,8,1,0,1,8,1,66,8,1
2015/6/2,17.2,8,1,25.5,8,1,10.8,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,75,8,1
2015/6/3,15.8,8,1,20.9,8,1,10.4,8,1,10.5,0,8,1,1.4,0,8,1,0,1,8,1,93,8,1
2015/6/4,12.0,8,1,21.6,8,1,4.2,8,1,0,1,8,1,12.4,0,8,1,0,1,8,1,64,8,1
2015/6/5,9.6,8,1,14.5,8,1,4.3,8,1,29.5,0,8,1,1.2,0,8,1,0,1,8,1,85,8,1
2015/6/6,11.1,8,1,19.5,8,1,5.3,8,1,9.0,0,8,1,4.4,0,8,1,0,1,8,1,88,8,1
2015/6/7,13.6,8,1,21.4,8,1,4.8,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,77,8,1
2015/6/8,13.0,8,1,16.8,8,1,9.2,8,1,1.5,0,8,1,3.2,0,8,1,0,1,8,1,88,8,1
2015/6/9,14.5,8,1,18.4,8,1,11.6,8,1,16.0,0,8,1,0.0,0,8,1,0,1,8,1,96,8,1
2015/6/10,16.6,8,1,24.9,8,1,9.4,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,77,8,1
2015/6/11,17.1,8,1,22.4,8,1,11.4,8,1,0.0,0,8,1,6.6,0,8,1,0,1,8,1,81,8,1
2015/6/12,16.6,8,1,19.5,8,1,14.9,8,1,8.5,0,8,1,0.4,0,8,1,0,1,8,1,97,8,1
2015/6/13,19.2,8,1,26.1,8,1,13.7,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,75,8,1
2015/6/14,17.5,8,1,21.7,8,1,12.7,8,1,0.0,0,8,1,3.5,0,8,1,0,1,8,1,82,8,1
2015/6/15,17.6,8,1,25.3,8,1,11.5,8,1,13.0,0,8,1,6.3,0,8,1,0,1,8,1,85,8,1
2015/6/16,16.2,8,1,21.0,8,1,13.3,8,1,11.5,0,8,1,0.9,0,8,1,0,1,8,1,91,8,1
2015/6/17,15.9,8,1,21.7,8,1,11.8,8,1,2.5,0,8,1,3.7,0,8,1,0,1,8,1,89,8,1
2015/6/18,14.2,8,1,15.8,8,1,12.5,8,1,36.0,0,8,1,0.0,0,8,1,0,1,8,1,98,8,1
2015/6/19,12.6,8,1,14.2,8,1,11.6,8,1,23.5,0,8,1,0.0,0,8,1,0,1,8,1,98,8,1
2015/6/20,15.3,8,1,21.5,8,1,11.1,8,1,9.0,0,8,1,7.4,0,8,1,0,1,8,1,91,8,1
2015/6/21,14.7,8,1,18.5,8,1,13.1,8,1,7.0,0,8,1,0.0,0,8,1,0,1,8,1,96,8,1
2015/6/22,16.3,8,1,22.5,8,1,12.4,8,1,7.5,0,8,1,4.1,0,8,1,0,1,8,1,90,8,1
2015/6/23,17.0,8,1,23.9,8,1,13.8,8,1,8.5,0,8,1,6.9,0,8,1,0,1,8,1,87,8,1
2015/6/24,17.5,8,1,24.4,8,1,11.8,8,1,0.0,0,8,1,8.0,0,8,1,0,1,8,1,84,8,1
2015/6/25,18.4,8,1,23.4,8,1,15.4,8,1,0.0,0,8,1,8.3,0,8,1,0,1,8,1,81,8,1
2015/6/26,15.8,8,1,17.8,8,1,14.6,8,1,17.5,0,8,1,0.0,0,8,1,0,1,8,1,94,8,1
2015/6/27,17.5,8,1,23.3,8,1,13.9,8,1,1.0,0,8,1,1.4,0,8,1,0,1,8,1,87,8,1
2015/6/28,17.1,8,1,24.9,8,1,11.5,8,1,0,1,8,1,12.8,0,8,1,0,1,8,1,75,8,1
2015/6/29,16.0,8,1,23.0,8,1,11.3,8,1,0,1,8,1,8.4,0,8,1,0,1,8,1,82,8,1
2015/6/30,15.3,8,1,19.8,8,1,12.8,8,1,0.0,0,8,1,1.0,0,8,1,0,1,8,1,87,8,1
2015/7/1,16.1,8,1,21.5,8,1,13.1,8,1,22.5,0,8,1,1.2,0,8,1,0,1,8,1,95,8,1
2015/7/2,17.4,8,1,21.7,8,1,14.0,8,1,0,1,8,1,2.1,0,8,1,0,1,8,1,90,8,1
2015/7/3,17.1,8,1,20.9,8,1,15.5,8,1,8.5,0,8,1,0.0,0,8,1,0,1,8,1,98,8,1
2015/7/4,17.2,8,1,20.0,8,1,14.8,8,1,1.0,0,8,1,0.0,0,8,1,0,1,8,1,95,8,1
2015/7/5,15.4,8,1,19.0,8,1,13.4,8,1,0.5,0,8,1,0.2,0,8,1,0,1,8,1,93,8,1
2015/7/6,14.8,8,1,17.1,8,1,13.6,8,1,3.0,0,8,1,0.0,0,8,1,0,1,8,1,97,8,1
2015/7/7,15.6,8,1,18.8,8,1,12.6,8,1,3.0,0,8,1,0.0,0,8,1,0,1,8,1,99,8,1
2015/7/8,16.8,8,1,21.7,8,1,14.9,8,1,11.0,0,8,1,0.2,0,8,1,0,1,8,1,97,8,1
2015/7/9,16.3,8,1,18.1,8,1,15.3,8,1,5.5,0,8,1,0.0,0,8,1,0,1,8,1,100,8,1
2015/7/10,19.5,8,1,27.2,8,1,15.1,8,1,0,1,8,1,8.3,0,8,1,0,1,8,1,88,8,1
2015/7/11,19.7,8,1,28.2,8,1,12.5,8,1,0,1,8,1,12.5,0,8,1,0,1,8,1,78,8,1
2015/7/12,21.0,8,1,29.9,8,1,12.6,8,1,0,1,8,1,13.3,0,8,1,0,1,8,1,74,8,1
2015/7/13,23.3,8,1,29.9,8,1,16.5,8,1,0,1,8,1,7.7,0,8,1,0,1,8,1,72,8,1
