É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/07 17:36:14

,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ
2015/1/10,5.2,8,1,10.6,8,1,1.0,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,34,8,1
2015/1/11,5.1,8,1,11.1,8,1,-0.8,8,1,0.0,0,8,1,7.4,0,8,1,0,1,8,1,46,8,1
2015/1/12,4.1,8,1,8.7,8,1,0.4,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,43,8,1
2015/1/13,5.7,8,1,11.1,8,1,2.2,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,39,8,1
2015/1/14,4.8,8,1,10.8,8,1,-1.9,8,1,0,1,8,1,6.4,0,8,1,0,1,8,1,46,8,1
2015/1/15,4.5,8,1,7.2,8,1,1.2,8,1,18.0,0,8,1,0.0,0,8,1,0,1,8,1,70,8,1
2015/1/16,8.2,8,1,11.9,8,1,4.2,8,1,0.0,0,8,1,8.1,0,8,1,0,1,8,1,51,8,1
2015/1/17,4.5,8,1,10.0,8,1,-0.6,8,1,0.0,0,8,1,6.2,0,8,1,0,1,8,1,53,8,1
2015/1/18,3.2,8,1,9.1,8,1,-2.2,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,42,8,1
2015/1/19,4.3,8,1,13.2,8,1,-2.4,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,49,8,1
2015/1/20,4.8,8,1,9.8,8,1,1.0,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,44,8,1
2015/1/21,1.7,8,1,3.9,8,1,-1.3,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,59,8,1
2015/1/22,4.2,8,1,5.0,8,1,3.5,8,1,6.0,0,8,1,0.0,0,8,1,0,1,8,1,86,8,1
2015/1/23,6.3,8,1,11.5,8,1,2.3,8,1,0.5,0,8,1,6.7,0,8,1,0,1,8,1,55,8,1
2015/1/24,4.9,8,1,11.0,8,1,0.0,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,43,8,1
2015/1/25,4.8,8,1,11.2,8,1,-1.8,8,1,0,1,8,1,6.4,0,8,1,0,1,8,1,61,8,1
2015/1/26,8.6,8,1,13.9,8,1,4.6,8,1,0.5,0,8,1,5.4,0,8,1,0,1,8,1,63,8,1
2015/1/27,9.2,8,1,16.8,8,1,6.2,8,1,4.5,0,8,1,6.8,0,8,1,0,1,8,1,62,8,1
2015/1/28,4.1,8,1,8.5,8,1,-0.2,8,1,0.0,0,8,1,9.5,0,8,1,0,1,8,1,35,8,1
2015/1/29,3.2,8,1,7.8,8,1,-1.2,8,1,0,1,8,1,7.4,0,8,1,0,1,8,1,39,8,1
2015/1/30,2.1,8,1,3.8,8,1,0.5,8,1,3.5,0,8,1,0.0,0,8,1,0,1,8,1,83,8,1
2015/1/31,4.5,8,1,9.9,8,1,0.8,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,51,8,1
2015/2/1,3.0,8,1,7.8,8,1,-0.8,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,37,8,1
2015/2/2,4.0,8,1,8.8,8,1,0.5,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,34,8,1
2015/2/3,4.4,8,1,10.5,8,1,-0.1,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,40,8,1
2015/2/4,3.9,8,1,9.6,8,1,-3.2,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,52,8,1
2015/2/5,2.7,8,1,4.0,8,1,0.7,8,1,4.0,0,8,1,0.0,0,8,1,0,1,8,1,84,8,1
2015/2/6,4.3,8,1,12.1,8,1,-1.8,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,60,8,1
2015/2/7,4.9,8,1,10.0,8,1,-0.8,8,1,0,1,8,1,8.7,0,8,1,0,1,8,1,53,8,1
2015/2/8,3.1,8,1,5.6,8,1,0.9,8,1,4.0,0,8,1,1.0,0,8,1,0,1,8,1,81,8,1
2015/2/9,2.3,8,1,7.9,8,1,-1.7,8,1,0,1,8,1,7.7,0,8,1,0,1,8,1,35,8,1
2015/2/10,2.3,8,1,9.0,8,1,-3.5,8,1,0,1,8,1,10.4,0,8,1,0,1,8,1,44,8,1
2015/2/11,3.9,8,1,11.2,8,1,-3.3,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,50,8,1
2015/2/12,5.1,8,1,12.9,8,1,-2.1,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,57,8,1
2015/2/13,3.4,8,1,10.0,8,1,-1.0,8,1,0,1,8,1,8.5,0,8,1,0,1,8,1,42,8,1
2015/2/14,4.0,8,1,10.0,8,1,0.0,8,1,0,1,8,1,10.4,0,8,1,0,1,8,1,33,8,1
2015/2/15,4.1,8,1,10.3,8,1,-1.3,8,1,0.0,0,8,1,10.0,0,8,1,0,1,8,1,47,8,1
2015/2/16,6.7,8,1,14.3,8,1,1.7,8,1,0,1,8,1,10.5,0,8,1,0,1,8,1,27,8,1
2015/2/17,3.8,8,1,7.2,8,1,1.7,8,1,0.0,0,8,1,0.3,0,8,1,0,1,8,1,61,8,1
2015/2/18,3.6,8,1,5.4,8,1,2.1,8,1,11.0,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2015/2/19,6.0,8,1,13.8,8,1,-0.7,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,64,8,1
2015/2/20,5.7,8,1,12.5,8,1,-0.2,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,58,8,1
2015/2/21,4.8,8,1,10.8,8,1,-2.1,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,59,8,1
2015/2/22,4.8,8,1,6.1,8,1,3.6,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,76,8,1
2015/2/23,10.5,8,1,17.3,8,1,5.6,8,1,0.0,0,8,1,5.3,0,8,1,0,1,8,1,77,8,1
2015/2/24,9.0,8,1,13.5,8,1,4.9,8,1,0,1,8,1,2.3,0,8,1,0,1,8,1,69,8,1
2015/2/25,8.7,8,1,12.9,8,1,6.2,8,1,0.0,0,8,1,3.4,0,8,1,0,1,8,1,58,8,1
2015/2/26,6.1,8,1,7.1,8,1,4.4,8,1,7.5,0,8,1,0.0,0,8,1,0,1,8,1,84,8,1
2015/2/27,7.0,8,1,13.7,8,1,2.2,8,1,0,1,8,1,10.6,0,8,1,0,1,8,1,50,8,1
2015/2/28,6.4,8,1,12.4,8,1,2.0,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,39,8,1
2015/3/1,5.5,8,1,8.6,8,1,4.3,8,1,19.0,0,8,1,0.0,0,8,1,0,1,8,1,77,8,1
2015/3/2,7.7,8,1,12.5,8,1,3.6,8,1,0,1,8,1,11.1,0,8,1,0,1,8,1,41,8,1
2015/3/3,3.9,8,1,6.2,8,1,0.1,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,64,8,1
2015/3/4,10.4,8,1,19.4,8,1,2.4,8,1,8.0,0,8,1,9.3,0,8,1,0,1,8,1,56,8,1
2015/3/5,8.2,8,1,13.1,8,1,4.9,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,30,8,1
2015/3/6,7.3,8,1,12.0,8,1,4.3,8,1,0,1,8,1,5.6,0,8,1,0,1,8,1,45,8,1
2015/3/7,6.1,8,1,7.8,8,1,4.2,8,1,1.0,0,8,1,0.0,0,8,1,0,1,8,1,76,8,1
2015/3/8,8.5,8,1,12.8,8,1,5.5,8,1,5.0,0,8,1,0.3,0,8,1,0,1,8,1,80,8,1
2015/3/9,9.2,8,1,11.4,8,1,8.0,8,1,17.0,0,8,1,0.0,0,8,1,0,1,8,1,86,8,1
2015/3/10,7.1,8,1,12.5,8,1,1.0,8,1,2.0,0,8,1,9.3,0,8,1,0,1,8,1,46,8,1
2015/3/11,5.3,8,1,12.5,8,1,-1.2,8,1,0,1,8,1,11.4,0,8,1,0,1,8,1,29,8,1
2015/3/12,6.6,8,1,15.0,8,1,-1.4,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,34,8,1
2015/3/13,7.9,8,1,14.5,8,1,0.6,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,31,8,1
2015/3/14,8.1,8,1,13.6,8,1,2.9,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,42,8,1
2015/3/15,6.9,8,1,12.1,8,1,2.6,8,1,0,1,8,1,6.8,0,8,1,0,1,8,1,59,8,1
2015/3/16,9.8,8,1,15.2,8,1,3.0,8,1,0,1,8,1,2.3,0,8,1,0,1,8,1,66,8,1
2015/3/17,14.5,8,1,23.3,8,1,6.8,8,1,0,1,8,1,10.7,0,8,1,0,1,8,1,61,8,1
2015/3/18,14.3,8,1,20.8,8,1,8.3,8,1,0.0,0,8,1,5.6,0,8,1,0,1,8,1,53,8,1
2015/3/19,11.7,8,1,13.7,8,1,9.3,8,1,1.5,0,8,1,0.0,0,8,1,0,1,8,1,85,8,1
2015/3/20,12.2,8,1,15.5,8,1,10.1,8,1,0.0,0,8,1,0.4,0,8,1,0,1,8,1,79,8,1
2015/3/21,10.8,8,1,15.8,8,1,6.0,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,55,8,1
2015/3/22,11.3,8,1,20.0,8,1,3.5,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,53,8,1
2015/3/23,9.5,8,1,15.7,8,1,3.2,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,28,8,1
2015/3/24,6.8,8,1,13.5,8,1,1.6,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,35,8,1
2015/3/25,7.2,8,1,13.1,8,1,2.9,8,1,0,1,8,1,12.0,0,8,1,0,1,8,1,37,8,1
2015/3/26,9.2,8,1,16.4,8,1,3.5,8,1,0,1,8,1,11.8,0,8,1,0,1,8,1,25,8,1
2015/3/27,12.0,8,1,22.0,8,1,0.4,8,1,0,1,8,1,11.9,0,8,1,0,1,8,1,31,8,1
2015/3/28,12.9,8,1,21.7,8,1,4.9,8,1,0,1,8,1,5.7,0,8,1,0,1,8,1,32,8,1
2015/3/29,13.9,8,1,20.0,8,1,5.1,8,1,0.0,0,8,1,5.2,0,8,1,0,1,8,1,40,8,1
2015/3/30,16.5,8,1,24.9,8,1,9.9,8,1,0,1,8,1,11.3,0,8,1,0,1,8,1,40,8,1
2015/3/31,16.1,8,1,25.0,8,1,9.2,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,51,8,1
2015/4/1,14.1,8,1,20.6,8,1,10.2,8,1,3.0,0,8,1,1.3,0,8,1,0,1,8,1,65,8,1
2015/4/2,12.0,8,1,18.8,8,1,6.1,8,1,0,1,8,1,11.0,0,8,1,0,1,8,1,59,8,1
2015/4/3,14.5,8,1,20.4,8,1,7.1,8,1,0.0,0,8,1,4.7,0,8,1,0,1,8,1,61,8,1
2015/4/4,12.9,8,1,16.9,8,1,10.1,8,1,1.5,0,8,1,0.0,0,8,1,0,1,8,1,70,8,1
2015/4/5,10.4,8,1,12.4,8,1,8.7,8,1,2.5,0,8,1,0.0,0,8,1,0,1,8,1,78,8,1
2015/4/6,15.8,8,1,23.1,8,1,8.6,8,1,0.0,0,8,1,5.8,0,8,1,0,1,8,1,70,8,1
2015/4/7,10.2,8,1,14.4,8,1,7.7,8,1,10.5,0,8,1,0.0,0,8,1,0,1,8,1,93,8,1
2015/4/8,3.3,8,1,7.8,8,1,0.8,8,1,19.5,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2015/4/9,6.1,8,1,9.3,8,1,3.5,8,1,0.0,0,8,1,1.9,0,8,1,0,1,8,1,67,8,1
2015/4/10,7.8,8,1,11.8,8,1,2.6,8,1,6.0,0,8,1,0.6,0,8,1,0,1,8,1,75,8,1
2015/4/11,12.1,8,1,18.6,8,1,8.4,8,1,4.5,0,8,1,1.2,0,8,1,0,1,8,1,78,8,1
2015/4/12,12.1,8,1,18.4,8,1,5.3,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,57,8,1
2015/4/13,9.1,8,1,10.7,8,1,7.9,8,1,15.5,0,8,1,0.0,0,8,1,0,1,8,1,87,8,1
2015/4/14,11.7,8,1,13.7,8,1,8.5,8,1,15.5,0,8,1,0.0,0,8,1,0,1,8,1,92,8,1
2015/4/15,14.6,8,1,23.4,8,1,10.2,8,1,2.5,0,8,1,4.6,0,8,1,0,1,8,1,66,8,1
2015/4/16,14.9,8,1,21.7,8,1,6.2,8,1,0,1,8,1,8.1,0,8,1,0,1,8,1,56,8,1
2015/4/17,15.2,8,1,21.8,8,1,9.4,8,1,0.0,0,8,1,6.9,0,8,1,0,1,8,1,54,8,1
2015/4/18,14.0,8,1,21.3,8,1,5.1,8,1,0,1,8,1,11.5,0,8,1,0,1,8,1,48,8,1
2015/4/19,13.6,8,1,19.2,8,1,7.7,8,1,0.0,0,8,1,1.7,0,8,1,0,1,8,1,55,8,1
2015/4/20,14.6,8,1,17.4,8,1,11.7,8,1,0.5,0,8,1,0.3,0,8,1,0,1,8,1,80,8,1
2015/4/21,17.2,8,1,20.1,8,1,14.1,8,1,0.0,0,8,1,0.4,0,8,1,0,1,8,1,62,8,1
2015/4/22,16.3,8,1,22.2,8,1,10.6,8,1,0,1,8,1,6.0,0,8,1,0,1,8,1,55,8,1
2015/4/23,18.4,8,1,26.1,8,1,11.1,8,1,0,1,8,1,12.1,0,8,1,0,1,8,1,53,8,1
2015/4/24,17.8,8,1,25.2,8,1,11.9,8,1,0,1,8,1,7.7,0,8,1,0,1,8,1,64,8,1
2015/4/25,17.5,8,1,24.7,8,1,12.9,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,41,8,1
2015/4/26,17.5,8,1,25.7,8,1,10.0,8,1,0,1,8,1,12.3,0,8,1,0,1,8,1,48,8,1
2015/4/27,20.1,8,1,29.3,8,1,11.0,8,1,0,1,8,1,12.4,0,8,1,0,1,8,1,54,8,1
2015/4/28,21.8,8,1,30.9,8,1,12.8,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,45,8,1
2015/4/29,19.7,8,1,25.5,8,1,14.3,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,61,8,1
2015/4/30,19.8,8,1,26.6,8,1,13.1,8,1,0,1,8,1,11.0,0,8,1,0,1,5,1,57,8,1
2015/5/1,21.2,8,1,29.3,8,1,12.8,8,1,0,1,8,1,12.4,0,8,1,0,1,8,1,50,8,1
2015/5/2,21.5,8,1,29.1,8,1,14.1,8,1,0,1,8,1,12.5,0,8,1,0,1,8,1,50,8,1
2015/5/3,21.1,8,1,28.3,8,1,14.3,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,54,8,1
2015/5/4,22.1,8,1,28.7,8,1,17.3,8,1,0.0,0,8,1,5.7,0,8,1,0,1,8,1,60,8,1
2015/5/5,18.9,8,1,24.1,8,1,12.4,8,1,0.0,0,8,1,8.3,0,8,1,0,1,8,1,35,8,1
2015/5/6,18.1,8,1,25.5,8,1,9.8,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,48,8,1
2015/5/7,19.7,8,1,26.1,8,1,14.3,8,1,0.0,0,8,1,5.4,0,8,1,0,1,8,1,52,8,1
2015/5/8,21.5,8,1,28.2,8,1,15.4,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,45,8,1
2015/5/9,18.0,8,1,21.2,8,1,14.9,8,1,5.0,0,8,1,0.0,0,8,1,0,1,8,1,76,8,1
2015/5/10,18.4,8,1,25.7,8,1,12.8,8,1,0,1,8,1,12.7,0,8,1,0,1,8,1,41,8,1
2015/5/11,17.0,8,1,25.0,8,1,9.5,8,1,0,1,8,1,11.6,0,8,1,0,1,8,1,31,8,1
2015/5/12,16.8,8,1,21.0,8,1,12.6,8,1,16.5,0,8,1,0.4,0,8,1,0,1,8,1,59,8,1
2015/5/13,22.8,8,1,30.0,8,1,15.1,8,1,0,1,8,1,12.4,0,8,1,0,1,8,1,40,8,1
2015/5/14,22.9,8,1,31.6,8,1,13.3,8,1,0,1,8,1,10.7,0,8,1,0,1,8,1,42,8,1
2015/5/15,23.0,8,1,29.4,8,1,17.3,8,1,0,1,8,1,8.7,0,8,1,0,1,8,1,53,8,1
2015/5/16,21.0,8,1,24.7,8,1,18.9,8,1,2.5,0,8,1,0.8,0,8,1,0,1,8,1,78,8,1
2015/5/17,23.2,8,1,29.6,8,1,17.5,8,1,0.0,0,8,1,11.7,0,8,1,0,1,8,1,41,8,1
2015/5/18,21.6,8,1,28.3,8,1,15.6,8,1,0.0,0,8,1,7.3,0,8,1,0,1,8,1,50,8,1
2015/5/19,20.0,8,1,23.4,8,1,16.2,8,1,2.0,0,8,1,1.0,0,8,1,0,1,8,1,78,8,1
2015/5/20,22.6,8,1,28.3,8,1,18.9,8,1,0.0,0,8,1,5.0,0,8,1,0,1,8,1,62,8,1
2015/5/21,19.4,8,1,25.4,8,1,14.0,8,1,8.0,0,8,1,12.8,0,8,1,0,1,8,1,41,8,1
2015/5/22,19.7,8,1,26.9,8,1,12.4,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,49,8,1
2015/5/23,22.0,8,1,30.0,8,1,14.2,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,47,8,1
2015/5/24,22.2,8,1,27.3,8,1,17.9,8,1,0,1,8,1,6.4,0,8,1,0,1,8,1,56,8,1
2015/5/25,21.4,8,1,27.8,8,1,15.2,8,1,0,1,8,1,8.3,0,8,1,0,1,8,1,60,8,1
2015/5/26,23.6,8,1,31.8,8,1,15.0,8,1,0,1,8,1,13.1,0,8,1,0,1,8,1,48,8,1
2015/5/27,24.0,8,1,31.4,8,1,17.3,8,1,0,1,8,1,12.7,0,8,1,0,1,8,1,37,8,1
2015/5/28,22.7,8,1,27.4,8,1,19.0,8,1,0,1,8,1,3.5,0,8,1,0,1,8,1,56,8,1
2015/5/29,21.0,8,1,24.2,8,1,18.9,8,1,3.0,0,8,1,0.0,0,8,1,0,1,8,1,78,8,1
2015/5/30,24.9,8,1,32.6,8,1,17.8,8,1,0.0,0,8,1,11.6,0,8,1,0,1,8,1,60,8,1
2015/5/31,25.5,8,1,32.2,8,1,20.3,8,1,0.0,0,8,1,10.1,0,8,1,0,1,8,1,41,8,1
2015/6/1,23.8,8,1,31.1,8,1,18.7,8,1,0,1,8,1,8.3,0,8,1,0,1,8,1,44,8,1
2015/6/2,23.8,8,1,31.5,8,1,17.1,8,1,0,1,8,1,7.5,0,8,1,0,1,8,1,60,8,1
2015/6/3,21.7,8,1,24.3,8,1,19.5,8,1,13.0,0,8,1,0.0,0,8,1,0,1,8,1,84,8,1
2015/6/4,22.3,8,1,28.4,8,1,17.9,8,1,0,1,8,1,12.1,0,8,1,0,1,8,1,31,8,1
2015/6/5,17.8,8,1,22.0,8,1,13.9,8,1,25.0,0,8,1,2.1,0,8,1,0,1,8,1,55,8,1
2015/6/6,18.8,8,1,25.0,8,1,14.0,8,1,8.0,0,8,1,4.5,0,8,1,0,1,8,1,73,8,1
2015/6/7,20.6,8,1,27.5,8,1,14.5,8,1,0,1,8,1,10.6,0,8,1,0,1,8,1,56,8,1
2015/6/8,20.9,8,1,27.6,8,1,15.0,8,1,1.0,0,8,1,5.7,0,8,1,0,1,8,1,65,8,1
2015/6/9,20.5,8,1,23.4,8,1,16.2,8,1,21.0,0,8,1,0.4,0,8,1,0,1,8,1,79,8,1
2015/6/10,24.0,8,1,30.7,8,1,17.0,8,1,0,1,8,1,12.3,0,8,1,0,1,8,1,56,8,1
2015/6/11,24.1,8,1,30.2,8,1,18.9,8,1,0.0,0,8,1,7.6,0,8,1,0,1,8,1,61,8,1
2015/6/12,22.6,8,1,25.4,8,1,20.5,8,1,5.5,0,8,1,0.5,0,8,1,0,1,8,1,80,8,1
2015/6/13,25.8,8,1,32.3,8,1,21.2,8,1,0.0,0,8,1,7.6,0,8,1,0,1,8,1,65,8,1
2015/6/14,23.8,8,1,27.2,8,1,20.4,8,1,0.0,0,8,1,0.5,0,8,1,0,1,8,1,71,8,1
2015/6/15,25.6,8,1,32.9,8,1,19.3,8,1,2.0,0,8,1,11.4,0,8,1,0,1,8,1,62,8,1
2015/6/16,23.1,8,1,28.9,8,1,19.7,8,1,51.5,0,8,1,2.6,0,8,1,0,1,8,1,77,8,1
2015/6/17,21.0,8,1,25.5,8,1,19.6,8,1,22.5,0,8,1,0.7,0,8,1,0,1,8,1,88,8,1
2015/6/18,20.6,8,1,24.4,8,1,18.7,8,1,15.5,0,8,1,0.0,0,8,1,0,1,8,1,88,8,1
2015/6/19,18.9,8,1,21.0,8,1,17.9,8,1,7.0,0,8,1,0.0,0,8,1,0,1,8,1,89,8,1
2015/6/20,21.7,8,1,27.8,8,1,16.9,8,1,5.5,0,8,1,7.9,0,8,1,0,1,8,1,72,8,1
2015/6/21,21.1,8,1,24.2,8,1,18.4,8,1,0.0,0,8,1,0.1,0,8,1,0,1,8,1,80,8,1
2015/6/22,23.4,8,1,28.4,8,1,19.0,8,1,0.0,0,8,1,5.4,0,8,1,0,1,8,1,68,8,1
2015/6/23,23.2,8,1,29.6,8,1,18.8,8,1,45.0,0,8,1,4.3,0,8,1,0,1,8,1,74,8,1
2015/6/24,24.3,8,1,30.7,8,1,18.0,8,1,0,1,8,1,11.7,0,8,1,0,1,8,1,68,8,1
2015/6/25,25.1,8,1,30.6,8,1,21.3,8,1,0.0,0,8,1,8.2,0,8,1,0,1,8,1,68,8,1
2015/6/26,22.3,8,1,25.7,8,1,20.4,8,1,15.0,0,8,1,0.0,0,8,1,0,1,8,1,84,8,1
2015/6/27,21.8,8,1,24.7,8,1,20.2,8,1,3.0,0,8,1,0.2,0,8,1,0,1,8,1,93,8,1
2015/6/28,23.7,8,1,31.2,8,1,18.6,8,1,0,1,8,1,12.1,0,8,1,0,1,8,1,59,8,1
2015/6/29,22.1,8,1,28.3,8,1,17.5,8,1,0,1,8,1,7.7,0,8,1,0,1,8,1,64,8,1
2015/6/30,22.3,8,1,25.9,8,1,19.0,8,1,0.0,0,8,1,0.5,0,8,1,0,1,8,1,71,8,1
2015/7/1,20.5,8,1,22.6,8,1,18.8,8,1,11.5,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2015/7/2,22.3,8,1,25.2,8,1,19.7,8,1,0.0,0,8,1,0.3,0,8,1,0,1,8,1,86,8,1
2015/7/3,21.9,8,1,23.8,8,1,21.1,8,1,27.0,0,8,1,0.0,0,8,1,0,1,8,1,94,8,1
2015/7/4,22.8,8,1,25.1,8,1,20.9,8,1,2.0,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2015/7/5,21.4,8,1,23.9,8,1,19.7,8,1,3.0,0,8,1,0.0,0,8,1,0,1,8,1,83,8,1
2015/7/6,20.1,8,1,21.7,8,1,19.2,8,1,13.5,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2015/7/7,21.7,8,1,24.5,8,1,19.4,8,1,0.5,0,8,1,0.0,0,8,1,0,1,8,1,87,8,1
2015/7/8,22.6,8,1,26.1,8,1,18.9,8,1,4.0,0,8,1,0.3,0,8,1,0,1,8,1,85,8,1
2015/7/9,19.9,8,1,21.4,8,1,18.7,8,1,3.5,0,8,1,0.0,0,8,1,0,1,8,1,93,8,1
2015/7/10,24.2,8,1,30.9,8,1,19.0,8,1,0.0,0,8,1,7.7,0,8,1,0,1,8,1,77,8,1
2015/7/11,26.6,8,1,33.7,8,1,20.2,8,1,0,1,8,1,12.8,0,8,1,0,1,8,1,66,8,1
2015/7/12,28.1,8,1,35.0,8,1,21.4,8,1,0,1,8,1,12.9,0,8,1,0,1,8,1,64,8,1
2015/7/13,30.4,8,1,37.0,8,1,23.9,8,1,0,1,8,1,11.1,0,8,1,0,1,8,1,63,8,1
2015/7/14,31.0,8,1,37.8,8,1,24.6,8,1,0,1,8,1,13.0,0,8,1,0,1,8,1,57,8,1
2015/7/15,28.9,8,1,35.7,8,1,25.1,8,1,0.0,0,8,1,11.2,0,8,1,0,1,8,1,65,8,1
2015/7/16,24.6,8,1,27.2,8,1,22.9,8,1,159.5,0,8,1,0.0,0,8,1,0,1,8,1,93,8,1
2015/7/17,26.6,8,1,32.8,8,1,23.3,8,1,13.0,0,8,1,1.5,0,8,1,0,1,8,1,81,8,1
2015/7/18,25.0,8,1,27.9,8,1,23.1,8,1,2.5,0,8,1,0.3,0,8,1,0,1,8,1,88,8,1
2015/7/19,28.2,8,1,36.0,8,1,21.9,8,1,1.5,0,8,1,10.1,0,8,1,0,1,8,1,75,8,1
2015/7/20,29.3,8,1,34.8,8,1,25.6,8,1,0.0,0,8,1,7.3,0,8,1,0,1,8,1,73,8,1
